Planet Number,Epoch,0.5,0.16,0.84,0.005,0.995
0,0,1657.9012784357183,1657.908075846266,1657.8961931192316,1657.9138826704584,
0,1,1666.2511006263085,1666.257703165058,1666.2454197579063,1666.263109489344,
0,2,1674.602610015776,1674.6096980092116,1674.5974645623937,1674.6158819082193,
0,12,1758.1083267601207,1758.1097170966677,1758.1073574977927,1758.1108000883833,
0,38,1975.1853867582977,1975.1868217708543,1975.1841088994406,1975.1876793717965,
0,42,2008.5884932829067,2008.5894205807708,2008.5878273998387,2008.590126670897,
0,46,2041.996556032449,2041.997311720159,2041.995962060988,2041.997831585817,
0,47,2050.3465340244584,2050.3471587901004,2050.346119354479,2050.3476448189467,
0,48,2058.696464810986,2058.6970922788605,2058.695975181181,2058.6975261564367,
0,49,2067.0448103975505,2067.045497686602,2067.044313315768,2067.0460318000987,
0,51,2083.7398807890713,2083.7407589280047,2083.73916253075,2083.7414413518272,
0,52,2092.087754475884,2092.0889495783485,2092.086570586078,2092.089859257918,
0,79,2317.5175800970756,2317.518655061256,2317.5165512650274,2317.519627428148,
0,88,2392.674121562857,2392.67483884003,2392.67345637409,2392.6753275222145,
0,92,2426.0659943148494,2426.0669527752325,2426.0653250361793,2426.0676568252966,
0,93,2434.4135627192445,2434.414571341593,2434.412797337398,2434.4153589233756,
0,95,2451.1093170102686,2451.111139166169,2451.107877828181,2451.112427677028,
